"","Prefix","Level","Semester","Competency","Student.Work","Form","PT1","SCI1","PT2","SCI2","PT3","SCI3","PT4","SCI4","Total","Mean","file"
"111","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",72,"3",NA,"",NA,"",NA,"","3","3",4
"112","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",70,"3",NA,"",NA,"",NA,"","3","3",4
"113","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",70,"3",NA,"",NA,"",NA,"","3","3",4
"114","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",90,"4",NA,"",NA,"",NA,"","4","4",4
"115","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",74,"3",NA,"",NA,"",NA,"","3","3",4
"116","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",82,"3",NA,"",NA,"",NA,"","3","3",4
"117","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",72,"3",NA,"",NA,"",NA,"","3","3",4
"118","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",90,"4",NA,"",NA,"",NA,"","4","4",4
"119","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",82,"3",NA,"",NA,"",NA,"","3","3",4
"120","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",78,"3",NA,"",NA,"",NA,"","3","3",4
"121","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",88,"4",NA,"",NA,"",NA,"","4","4",4
"122","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",96,"4",NA,"",NA,"",NA,"","4","4",4
"123","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",84,"3",NA,"",NA,"",NA,"","3","3",4
"124","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",74,"3",NA,"",NA,"",NA,"","3","3",4
"125","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",84,"3",NA,"",NA,"",NA,"","3","3",4
"126","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",88,"4",NA,"",NA,"",NA,"","4","4",4
"127","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",78,"3",NA,"",NA,"",NA,"","3","3",4
"128","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",84,"3",NA,"",NA,"",NA,"","3","3",4
"129","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",86,"4",NA,"",NA,"",NA,"","4","4",4
"130","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",84,"3",NA,"",NA,"",NA,"","3","3",4
"131","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",88,"4",NA,"",NA,"",NA,"","4","4",4
"132","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",86,"4",NA,"",NA,"",NA,"","4","4",4
"133","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",92,"4",NA,"",NA,"",NA,"","4","4",4
"134","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",72,"3",NA,"",NA,"",NA,"","3","3",4
"135","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",88,"4",NA,"",NA,"",NA,"","4","4",4
"136","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",80,"3",NA,"",NA,"",NA,"","3","3",4
"137","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",72,"3",NA,"",NA,"",NA,"","3","3",4
"138","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",72,"3",NA,"",NA,"",NA,"","3","3",4
"139","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",84,"3",NA,"",NA,"",NA,"","3","3",4
"140","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",60,"2",NA,"",NA,"",NA,"","2","2",4
"141","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",80,"3",NA,"",NA,"",NA,"","3","3",4
"142","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",58,"1",NA,"",NA,"",NA,"","1","1",4
"143","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",66,"2",NA,"",NA,"",NA,"","2","2",4
"144","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",86,"4",NA,"",NA,"",NA,"","4","4",4
"145","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",76,"3",NA,"",NA,"",NA,"","3","3",4
"146","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",96,"4",NA,"",NA,"",NA,"","4","4",4
"147","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",82,"3",NA,"",NA,"",NA,"","3","3",4
"148","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",70,"3",NA,"",NA,"",NA,"","3","3",4
"149","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",90,"4",NA,"",NA,"",NA,"","4","4",4
"150","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",84,"3",NA,"",NA,"",NA,"","3","3",4
"151","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",88,"4",NA,"",NA,"",NA,"","4","4",4
"152","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",92,"4",NA,"",NA,"",NA,"","4","4",4
"153","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",94,"4",NA,"",NA,"",NA,"","4","4",4
"154","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",94,"4",NA,"",NA,"",NA,"","4","4",4
"155","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",52,"1",NA,"",NA,"",NA,"","1","1",4
"156","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",82,"3",NA,"",NA,"",NA,"","3","3",4
"157","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",92,"4",NA,"",NA,"",NA,"","4","4",4
"158","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",86,"4",NA,"",NA,"",NA,"","4","4",4
"159","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",66,"2",NA,"",NA,"",NA,"","2","2",4
"160","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",64,"2",NA,"",NA,"",NA,"","2","2",4
"161","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",70,"3",NA,"",NA,"",NA,"","3","3",4
"162","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",74,"3",NA,"",NA,"",NA,"","3","3",4
"163","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",54,"1",NA,"",NA,"",NA,"","1","1",4
"164","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",76,"3",NA,"",NA,"",NA,"","3","3",4
"165","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",78,"3",NA,"",NA,"",NA,"","3","3",4
"166","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",96,"4",NA,"",NA,"",NA,"","4","4",4
